Wall time,Step,Value
1698767958.6527467,2048,0.022187499329447746
1698767959.509175,4096,0.03920242562890053
1698767960.3066611,6144,0.02065504901111126
1698767961.1195083,8192,0.012451923452317715
1698767961.9108708,10240,0.012031249701976776
1698767962.733528,12288,0.01518368348479271
1698767963.6472394,14336,0.03126710653305054
1698767964.6227992,16384,0.04208911955356598
1698767965.4938703,18432,0.020691106095910072
1698767966.420031,20480,0.0189614649862051
1698767967.1807373,22528,0.020365767180919647
1698767968.1223023,24576,0.03930200636386871
1698767969.1156569,26624,0.03504050895571709
1698767969.9697943,28672,0.028610320761799812
1698767970.8095975,30720,0.03983217477798462
1698767971.6230268,32768,0.04607676714658737
1698767972.5100455,34816,0.045783545821905136
1698767973.4060624,36864,0.061086855828762054
1698767974.2109244,38912,0.03951967507600784
1698767975.083631,40960,0.09450924396514893
1698767976.0097697,43008,0.11933854222297668
1698767976.8556824,45056,0.09866306930780411
1698767977.704911,47104,0.09709420055150986
1698767978.6126866,49152,0.04970702901482582
1698767979.474057,51200,0.12053649872541428
1698767980.3171952,53248,0.06942522525787354
1698767981.1726973,55296,0.11585445702075958
1698767982.014036,57344,0.155737966299057
1698767982.8208406,59392,0.15354201197624207
1698767983.716094,61440,0.16494077444076538
1698767984.5909276,63488,0.1965140402317047
1698767985.498611,65536,0.27323994040489197
1698767986.3485227,67584,0.2668193280696869
1698767987.1915798,69632,0.26195311546325684
1698767988.082394,71680,0.26942285895347595
1698767988.975013,73728,0.30460548400878906
1698767989.7559752,75776,0.2997424304485321
1698767990.574969,77824,0.36188530921936035
1698767991.431237,79872,0.32942846417427063
1698767992.3964043,81920,0.3597935140132904
1698767993.3002508,83968,0.3645532429218292
1698767994.2551377,86016,0.3547644019126892
1698767995.182675,88064,0.3450295031070709
1698767996.010199,90112,0.3096018135547638
1698767996.8763058,92160,0.41418322920799255
1698767997.6636074,94208,0.41858571767807007
1698767998.5493684,96256,0.4178224802017212
1698767999.5775614,98304,0.41795462369918823
1698768000.406633,100352,0.41062283515930176
1698768001.2885268,102400,0.46558576822280884
1698768002.2668965,104448,0.46251317858695984
1698768003.120732,106496,0.4420069456100464
1698768004.0156212,108544,0.3884151875972748
1698768004.9179752,110592,0.37718597054481506
1698768005.831052,112640,0.45528164505958557
1698768006.8824105,114688,0.4731566309928894
1698768007.7838976,116736,0.4579773247241974
1698768008.688507,118784,0.49591439962387085
1698768009.5566013,120832,0.43082448840141296
1698768010.4539034,122880,0.43240609765052795
1698768011.4049718,124928,0.464830607175827
1698768012.3076046,126976,0.4318262040615082
1698768013.1802197,129024,0.44448286294937134
1698768014.0682645,131072,0.439353346824646
1698768015.0495842,133120,0.46218353509902954
1698768015.970341,135168,0.4646894633769989
1698768016.872829,137216,0.41356050968170166
1698768017.6329432,139264,0.46463868021965027
1698768018.4414303,141312,0.4632307291030884
1698768019.260636,143360,0.4877321720123291
1698768020.0550652,145408,0.4573564827442169
1698768020.9430861,147456,0.46163564920425415
1698768021.7060153,149504,0.45783886313438416
1698768022.6038718,151552,0.4709329903125763
1698768023.5015907,153600,0.4878504276275635
1698768024.4596093,155648,0.4625791013240814
1698768025.3944008,157696,0.47885802388191223
1698768026.273283,159744,0.46209773421287537
1698768027.2422013,161792,0.4953310191631317
1698768028.1466382,163840,0.49038243293762207
1698768029.0509663,165888,0.44150814414024353
1698768029.978188,167936,0.4319958984851837
1698768030.8831737,169984,0.4360135495662689
1698768031.7731428,172032,0.4699169397354126
1698768032.6669762,174080,0.46669718623161316
1698768033.5651422,176128,0.43175816535949707
1698768034.4152098,178176,0.45082464814186096
1698768035.3775687,180224,0.46599438786506653
1698768036.423378,182272,0.4864037334918976
1698768037.3920348,184320,0.4546908438205719
1698768038.1773932,186368,0.4917888939380646
1698768038.970938,188416,0.48172318935394287
1698768039.9716835,190464,0.4412398040294647
1698768040.8614197,192512,0.4499456584453583
1698768041.6984634,194560,0.436259001493454
1698768042.5047193,196608,0.4544214606285095
1698768043.5416088,198656,0.48161134123802185
1698768044.4945521,200704,0.490018755197525
1698768045.5945544,202752,0.501477062702179
1698768046.4981537,204800,0.4736820459365845
1698768047.4354103,206848,0.49581360816955566
1698768048.3431478,208896,0.4672069549560547
1698768049.2257595,210944,0.48549288511276245
1698768050.110041,212992,0.42974433302879333
1698768051.011359,215040,0.46449220180511475
1698768051.89478,217088,0.4960753619670868
1698768052.8845348,219136,0.46869465708732605
1698768053.7118652,221184,0.5056520700454712
1698768054.6228523,223232,0.49628981947898865
