Wall time,Step,Value
1712945169.1047118,0,-18.6299991607666
1712945172.2505212,1,-19.68000030517578
1712945175.3743322,2,-18.579999923706055
1712945178.5079513,3,-17.0
1712945181.5855834,4,-16.6299991607666
1712945184.6966736,5,-17.020000457763672
1712945187.7651017,6,-17.93000030517578
1712945190.8421073,7,-16.59000015258789
1712945193.9428153,8,-16.8700008392334
1712945197.01927,9,-17.290000915527344
1712945200.127024,10,-16.959999084472656
1712945203.420095,11,-14.300000190734863
1712945206.9580336,12,-15.449999809265137
1712945210.466727,13,-13.649999618530273
1712945213.8210695,14,-12.039999961853027
1712945216.8722706,15,-12.520000457763672
1712945220.2627275,16,-10.800000190734863
1712945223.3058133,17,-10.329999923706055
1712945226.462927,18,-12.199999809265137
1712945229.605422,19,-12.130000114440918
1712945232.662117,20,-14.369999885559082
1712945235.8347812,21,-13.779999732971191
1712945238.9934244,22,-12.680000305175781
1712945242.0760608,23,-12.859999656677246
1712945245.039515,24,-10.15999984741211
1712945248.016478,25,-9.069999694824219
1712945251.1530075,26,-9.09000015258789
1712945254.3429656,27,-7.539999961853027
1712945257.414236,28,-10.279999732971191
1712945260.5596466,29,-6.800000190734863
1712945263.763785,30,-6.550000190734863
1712945266.8807738,31,-8.359999656677246
1712945269.934425,32,-5.25
1712945272.9967997,33,-6.590000152587891
1712945276.1146784,34,-7.400000095367432
1712945279.133988,35,-5.139999866485596
1712945282.1780744,36,-4.730000019073486
1712945285.131933,37,-4.690000057220459
1712945288.1774437,38,-2.6700000762939453
1712945291.2628224,39,-2.200000047683716
1712945294.2346706,40,-2.950000047683716
1712945297.128346,41,-3.0399999618530273
1712945300.2160356,42,-3.380000114440918
1712945303.463097,43,-2.859999895095825
1712945306.4759738,44,-2.4700000286102295
1712945309.644147,45,-2.240000009536743
1712945312.7457116,46,-2.9800000190734863
1712945315.9336812,47,-2.4100000858306885
1712945319.0119047,48,-1.9500000476837158
1712945322.1522565,49,-2.2100000381469727
1712945325.2246,50,-2.140000104904175
1712945328.2243423,51,-2.049999952316284
1712945331.302571,52,-1.909999966621399
1712945334.417423,53,-1.7599999904632568
1712945337.452921,54,-1.8600000143051147
1712945340.502082,55,-1.7699999809265137
1712945343.568198,56,-2.0299999713897705
1712945346.7178223,57,-1.9700000286102295
1712945349.5641215,58,-1.9600000381469727
1712945352.6640444,59,-2.0399999618530273
1712945355.950149,60,-1.6799999475479126
1712945359.2348251,61,-1.2200000286102295
1712945362.4642603,62,-1.3899999856948853
1712945365.7000666,63,-1.3300000429153442
1712945368.8281758,64,-1.2799999713897705
1712945371.8955674,65,-1.4299999475479126
1712945374.9892623,66,-1.2200000286102295
1712945378.0271778,67,-1.0499999523162842
1712945381.1314375,68,-1.1200000047683716
1712945384.3051543,69,-1.090000033378601
1712945387.3570392,70,-1.190000057220459
1712945390.4122746,71,-1.2899999618530273
1712945393.5012043,72,-1.0099999904632568
1712945396.6911051,73,-0.7699999809265137
1712945399.7184377,74,-0.949999988079071
1712945402.8306756,75,-0.800000011920929
1712945405.91648,76,-0.8700000047683716
1712945409.0491166,77,-1.0
1712945412.4109726,78,-0.7200000286102295
1712945415.588057,79,-0.7900000214576721
1712945418.6034667,80,-0.6200000047683716
1712945421.8083384,81,-0.5099999904632568
1712945424.8088422,82,-0.5
1712945427.9335654,83,-0.4300000071525574
1712945430.983972,84,-0.5
1712945434.032975,85,-0.41999998688697815
1712945437.1166966,86,-0.4000000059604645
1712945440.2468107,87,-0.4399999976158142
1712945443.4291308,88,-0.4099999964237213
1712945446.4537022,89,-0.36000001430511475
1712945449.5169365,90,-0.4000000059604645
1712945452.5549994,91,-0.1899999976158142
