Wall time,Step,Value
1712831934.3303456,50,0.0
1712831935.1500833,52,0.0
1712831935.5106792,53,0.0
1712831935.8839467,54,0.0
1712831938.228177,60,0.0
1712831938.5766318,61,0.0
1712831939.7048113,64,0.09010417014360428
1712831940.0436368,65,0.0
1712831941.0850835,68,0.0
1712831941.4999192,69,0.0
1712831941.8748672,70,0.0
1712831942.721043,72,0.0
1712831943.1198604,73,0.0
1712831944.3036873,76,0.0
1712831944.6941314,77,0.0
1712831945.4715385,79,0.03802083432674408
1712831946.9837358,83,0.0
1712831947.3816926,84,0.0
1712831948.136769,86,0.0
1712831948.5334582,87,0.0
1712831948.9301941,88,0.0
1712831949.2735589,89,0.0
1712831949.6828613,90,0.0
1712831952.2780337,97,0.0
1712831952.6734319,98,0.1419270783662796
1712831953.020853,99,0.0
1712831953.7509751,101,0.10859374701976776
1712831954.0940003,102,0.0
1712831954.8856177,104,0.0
1712831955.2161531,105,0.0
1712831956.0120564,107,0.0
1712831957.0498412,110,0.0
1712831957.3862767,111,0.0
1712831957.7735682,112,0.0
1712831958.1763256,113,0.0
1712831958.9327664,115,0.0
1712831959.3298428,116,0.0
1712831959.6658754,117,0.0
1712831960.0213625,118,0.0
1712831960.7053993,120,1.7393229007720947
1712831961.0336566,121,0.0
1712831961.656261,123,1.8416666984558105
1712831962.3415623,125,0.0
1712831962.9847066,127,0.0
1712831963.5264103,129,0.0
1712831963.8711507,130,0.0
1712831964.536421,132,0.0
1712831964.9475822,133,-0.11223958432674408
1712831965.6622088,135,0.0
1712831966.0055618,136,0.0
1712831967.215669,139,0.6302083134651184
1712831967.5513036,140,0.0
1712831969.4189985,145,0.0
1712831970.8757432,149,0.0
1712831971.2534184,150,0.0
1712831972.2781591,153,0.0
1712831973.3469439,156,0.0
1712831973.7229197,157,0.0
1712831974.4033928,159,0.0
1712831974.720683,160,0.0
1712831976.2209594,164,0.0
1712831976.8941245,166,0.0
1712831978.7496579,171,0.0
1712831980.2133288,175,0.0
1712831980.5236642,176,0.0
1712831981.2627647,178,-0.30000001192092896
1712831981.6562507,179,0.0
1712831982.0853546,180,0.0
1712831982.503745,181,0.0
1712831982.894692,182,0.0
1712831983.6872337,184,-0.699999988079071
1712831984.509184,186,0.0
1712831984.9059372,187,-0.20000000298023224
1712831987.1770031,193,0.0
1712831987.5711215,194,0.0
1712831988.3547945,196,0.0
1712831988.7378259,197,0.0
1712831989.7949412,200,-0.10000000149011612
1712831992.4309056,207,0.0
1712831993.2522447,209,0.0
1712831993.6406007,210,0.0
1712831994.28823,212,0.0
1712831994.998301,214,0.0
1712831995.7013247,216,0.0
1712831997.3087049,220,-0.21302083134651184
1712831997.7034152,221,0.0
1712831998.0279822,222,0.0
1712831999.2100303,225,0.0
1712831999.5480638,226,0.0
1712831999.9518037,227,0.0
1712832000.3217258,228,0.0
1712832001.0495424,230,0.0
1712832001.4467225,231,0.0
1712832002.5776427,234,0.15208333730697632
1712832003.024222,235,-0.30000001192092896
1712832003.4256725,236,0.0
1712832004.575453,239,0.0
1712832004.9180582,240,0.0
1712832005.2496712,241,0.0
1712832005.643766,242,0.0
1712832006.7651494,245,0.0
1712832007.8625376,248,0.08151041716337204
1712832008.1930494,249,-0.20000000298023224
1712832008.5233486,250,0.0
1712832009.1543505,252,0.0
1712832009.5476007,253,-0.00598958320915699
1712832009.9266384,254,0.0
1712832010.2638547,255,0.0
1712832010.9020598,257,0.0
1712832011.4890869,259,0.0
1712832012.0892844,261,0.0
1712832012.6022544,263,0.0
1712832013.2698803,265,0.0
1712832013.6004674,266,0.0
1712832014.2644587,268,0.0
1712832014.657031,269,0.05260416492819786
1712832014.9940476,270,0.0
1712832015.2589438,271,0.0
1712832015.610879,272,0.0
1712832016.2588885,274,0.17786458134651184
1712832016.5341713,275,0.0
1712832017.9033687,279,0.0
1712832018.7720902,282,0.0
1712832019.752647,285,1.2098958492279053
1712832020.38192,287,0.0
1712832020.7074606,288,0.0
1712832020.972784,289,0.0
1712832021.6129498,291,0.0
1712832021.9289417,292,0.0
1712832022.5682316,294,0.0
1712832022.9241912,295,0.0
1712832023.3155394,296,0.0
1712832023.588356,297,1.92578125
1712832025.1340127,302,0.0
1712832025.5288107,303,0.0
1712832025.8019295,304,0.0
1712832026.6511254,307,0.0
1712832026.9084835,308,0.0
1712832027.2263012,309,0.0
1712832027.4976797,310,0.0
1712832028.1374626,312,0.0
1712832030.7150385,320,0.0
1712832031.0364819,321,0.0
1712832031.9272695,324,0.0
1712832032.2459147,325,0.0
1712832032.57084,326,0.0
1712832033.2159193,328,0.09401042014360428
1712832033.7867956,330,0.0
1712832034.4098222,332,0.0
1712832034.7249556,333,1.892968773841858
1712832035.3266597,335,0.0
1712832036.0738988,337,0.0924479141831398
1712832036.3469458,338,1.9854166507720947
1712832037.107189,340,0.0
1712832038.493863,345,1.958593726158142
1712832038.8325512,346,0.0
1712832039.139333,347,0.0
1712832039.4060092,348,1.860937476158142
1712832039.6632984,349,0.0
1712832041.24003,354,0.0
1712832041.8316545,356,0.18567708134651184
1712832042.1117353,357,0.0
1712832042.3644817,358,0.0
1712832042.7245884,359,0.0
1712832043.607744,362,0.0
1712832043.9372182,363,0.0
1712832044.9012055,366,0.0
1712832045.620502,368,0.09322916716337204
1712832045.9699478,369,0.0
1712832046.9682038,372,0.0
1712832047.6897595,374,0.09322916716337204
1712832049.5282536,379,0.0
1712832049.9158204,380,0.0
1712832050.197794,381,0.0
1712832050.4580991,382,1.975000023841858
1712832050.8481028,383,0.0
1712832052.149978,387,0.0
1712832052.4964948,388,0.0
1712832053.0891306,390,0.35104167461395264
1712832054.0451436,393,0.0
1712832054.4458683,394,0.0
1712832054.7728772,395,0.0
1712832055.097129,396,0.0
1712832055.7182012,398,0.0
1712832056.3082016,400,0.0
1712832056.9407372,402,0.0
1712832057.3185582,403,0.0
1712832057.5900166,404,1.877343773841858
1712832057.9197679,405,0.0
1712832058.454275,407,0.0
1712832058.718789,408,0.0
1712832059.3322563,410,0.0
1712832060.0476763,412,0.0
1712832060.3099046,413,1.9265625476837158
1712832060.5658965,414,0.0
1712832060.9584434,415,0.0
1712832061.221877,416,0.0
1712832061.4791882,417,1.958593726158142
1712832061.8965597,418,0.0
1712832064.3011904,424,0.0
1712832064.7695882,425,0.0
1712832065.5740325,427,0.0
1712832065.917151,428,0.0
1712832067.150757,432,0.0
1712832068.0775611,435,0.0
1712832068.3186965,436,0.0
1712832069.3057911,439,0.0
1712832069.5847397,440,1.7781250476837158
1712832069.9859047,441,0.0
1712832070.3167844,442,0.09010417014360428
1712832070.5746439,443,0.0
1712832070.9038286,444,0.0
1712832071.28228,445,1.927343726158142
1712832071.6121638,446,0.0
1712832071.832741,447,0.0
1712832072.1654224,448,0.09401042014360428
1712832072.4641201,449,1.5263020992279053
1712832073.212739,451,0.0
1712832073.5466173,452,0.0
1712832074.213458,454,0.0
1712832074.7273366,456,0.0
1712832075.313709,458,0.0
1712832075.6013377,459,0.0
1712832076.638283,462,0.0
1712832076.9138064,463,0.0
1712832077.3039536,464,0.0
1712832077.6516075,465,0.0
1712832078.5136745,468,0.0
1712832078.8003857,469,0.0
1712832079.5340264,471,0.0
1712832079.8964558,472,0.0
1712832080.7668352,475,0.0
1712832081.1094112,476,0.0
1712832082.6404862,480,0.0
1712832082.9616377,481,0.0
1712832083.9308093,484,0.0
1712832084.2401965,485,0.0
1712832084.5465467,486,1.9093749523162842
1712832084.7553113,487,0.0
1712832085.1139367,488,0.0
1712832085.3067718,489,1.8937499523162842
1712832085.5372143,490,1.8468749523162842
1712832085.891821,491,1.450781226158142
1712832086.478145,493,1.8372396230697632
1712832086.8078976,494,0.0
1712832087.2146077,495,0.0
1712832087.496504,496,0.0
1712832088.8423505,500,0.0
1712832089.1003802,501,1.8781249523162842
1712832089.4844673,502,0.0
1712832089.7509239,503,0.0
1712832090.0037656,504,0.0
1712832090.5451844,506,1.9265625476837158
1712832091.1297998,508,0.0
1712832091.8599236,510,0.0
1712832092.1184983,511,0.0
1712832092.4053638,512,0.0
1712832093.130096,514,0.0
1712832093.5336587,515,0.08385416865348816
1712832093.832457,516,0.0
1712832094.4204113,518,1.6020833253860474
1712832095.0664053,520,0.0
1712832095.2768657,521,0.0
1712832096.1149898,524,0.0
1712832096.3968863,525,0.0
1712832097.359015,528,-0.009114583022892475
1712832097.7587595,529,0.0
1712832097.9570885,530,1.928125023841858
1712832098.2945042,531,0.0
1712832098.5455775,532,0.0
1712832098.8000655,533,1.942968726158142
1712832099.1244068,534,0.0
1712832099.71877,536,1.5315104722976685
1712832099.9822557,537,0.0
1712832100.1726298,538,0.0
1712832100.3834782,539,0.0
1712832100.8990252,541,0.0
1712832101.7334106,544,0.0
1712832102.0455046,545,0.0
1712832102.7432458,548,0.0
1712832103.5753489,551,0.0
1712832103.855136,552,0.0
1712832104.1889062,553,0.06822916865348816
1712832104.8120604,556,0.0
1712832105.6320636,558,0.0
1712832105.8208592,559,0.0
1712832106.00273,560,0.0
1712832106.1953301,561,1.9914062023162842
1712832106.390281,562,1.9914062023162842
1712832106.7107916,563,0.0
1712832107.042234,564,0.0
1712832107.5159311,566,0.0
1712832107.9507291,567,0.0
1712832108.2662718,568,0.0
1712832108.5867548,569,0.0
1712832108.9465086,570,0.0
1712832109.4123976,571,0.0
1712832109.9903522,573,0.0
1712832112.5499969,580,0.0
1712832113.5442224,583,0.0
1712832114.0098324,584,0.0
1712832114.7933474,586,0.0
1712832115.2137332,587,0.0
1712832115.6796172,588,0.0
1712832116.038407,589,0.0
1712832116.4190352,590,0.0
1712832117.1316907,592,0.08385416865348816
1712832117.3510199,593,0.0
1712832117.5957608,594,0.0
1712832118.3082244,596,0.3583333194255829
1712832118.581591,597,0.0
1712832119.4611466,600,0.0
1712832120.0416021,602,1.6632812023162842
1712832120.5637112,604,0.0
1712832120.7689176,605,0.0
1712832121.0277774,606,0.0
1712832122.8864024,612,0.0
1712832123.1831014,613,0.0
1712832123.3620534,614,0.0
1712832124.3295279,618,0.0
1712832124.6557133,619,1.502343773841858
1712832125.2896886,621,0.0
1712832125.6851993,623,0.0
1712832126.5637581,626,1.828125
1712832127.5346627,630,0.0
1712832128.6272674,634,0.0
1712832128.8131788,635,1.943750023841858
1712832129.1937077,636,0.0
1712832129.7637343,638,0.09088541567325592
1712832130.0874941,639,0.0
1712832130.4111915,640,0.07447917014360428
1712832130.690509,641,0.0
1712832130.9080794,642,0.0
1712832131.4296067,644,0.0
1712832131.8634906,646,1.8190103769302368
1712832132.1836107,647,0.0
1712832132.4495847,648,0.0
1712832132.6279266,649,0.0
1712832133.1755786,651,1.5007812976837158
1712832133.5156295,652,0.0
1712832133.848708,653,0.0924479141831398
1712832134.403973,655,0.0
1712832135.1242752,658,0.0
1712832135.8612802,660,0.0
1712832136.4382498,663,0.0
1712832136.6215355,664,0.0
1712832137.048297,666,0.0
1712832137.2996418,667,0.0
1712832137.514623,668,0.0
1712832137.984278,670,1.9614583253860474
1712832138.3838327,672,0.0
1712832138.8112266,673,0.0
1712832139.8067954,676,0.0
1712832140.1153495,677,0.0
1712832140.5057018,678,0.0
1712832140.882747,679,0.0
1712832142.1270504,683,-0.20000000298023224
1712832142.4080205,684,-0.30000001192092896
1712832142.7305193,685,0.0
1712832143.430803,687,0.0
1712832144.2733514,690,0.0
1712832144.581974,691,0.0
1712832144.9158866,692,0.0
1712832145.1919894,693,0.0
1712832145.5240276,694,0.17682291567325592
1712832145.8470006,695,0.0
1712832147.3320642,699,0.0
1712832148.041827,701,-0.02864583395421505
1712832148.3702917,702,1.4028645753860474
1712832148.696126,703,-0.5
1712832148.9958057,704,0.0
1712832149.3190181,705,0.0
1712832150.3017516,708,0.0
1712832150.645664,709,0.0
1712832150.9592075,710,0.0
1712832153.5001636,717,0.0
1712832154.5534759,720,0.0
1712832156.1874774,725,2.024218797683716
1712832156.4526455,726,0.0
1712832156.712863,727,0.0
1712832157.8134394,730,0.0
1712832158.3695014,732,2.024218797683716
1712832158.7502148,733,0.0
1712832159.0785072,734,0.0
