Wall time,Step,Value
1713525236.9136565,3072,-30.0
1713525237.5787811,6144,-31.57499885559082
1713525238.243665,9216,-30.75
1713525238.9092648,12288,-29.02499771118164
1713525239.586271,15360,-31.125
1713525240.249659,18432,-30.30000114440918
1713525240.9115376,21504,-33.375
1713525247.676717,24576,-30.52499771118164
1713525248.411661,27648,-28.27499771118164
1713525249.082361,30720,-20.853515625
1713525249.7416384,33792,-8.18906021118164
1713525250.4054818,36864,-15.12539291381836
1713525251.0671427,39936,-8.2470703125
1713525251.7196393,43008,-31.27499771118164
1713525252.3778899,46080,-29.625
1713525269.0629234,49152,-30.44999885559082
1713525269.8508883,52224,-28.875
1713525270.5271432,55296,-22.56913948059082
1713525271.200349,58368,-26.625
1713525271.881534,61440,-24.82499885559082
1713525272.553896,64512,-28.05000114440918
1713525273.2243116,67584,-29.32499885559082
1713525273.8922088,70656,-26.39999771118164
1713525280.6844094,73728,-28.27499771118164
1713525281.450911,76800,-26.85000228881836
1713525282.1174326,79872,-25.875
1713525282.7852528,82944,-24.52499771118164
1713525283.4496887,86016,-29.17500114440918
1713525284.1242914,89088,-28.94999885559082
1713525284.794998,92160,-18.65683364868164
1713525285.4640307,95232,-28.125
1713525302.02104,98304,-24.60000228881836
1713525302.8990452,101376,-13.82168197631836
1713525303.7709546,104448,-23.25
1713525304.651683,107520,-27.89999771118164
1713525305.393344,110592,-23.85000228881836
1713525306.0700293,113664,-12.63046646118164
1713525306.7355993,116736,-17.15156364440918
1713525307.406959,119808,-3.3990211486816406
1713525314.164257,122880,-24.14999771118164
1713525315.019697,125952,-22.35000228881836
1713525315.6831853,129024,-20.69999885559082
1713525316.3459918,132096,-21.22500228881836
1713525317.023884,135168,-22.72500228881836
1713525317.6864955,138240,-19.42500114440918
1713525318.3765407,141312,-21.52499771118164
1713525328.8361096,144384,-22.19999885559082
1713525335.4356427,147456,-21.82499885559082
1713525336.164508,150528,-22.125
1713525336.8303783,153600,-20.85000228881836
1713525337.4962182,156672,-18.82499885559082
1713525338.167287,159744,-18.375
1713525338.833111,162816,-17.69999885559082
1713525339.508445,165888,-22.125
1713525340.1809063,168960,-19.94999885559082
1713525346.864694,172032,-21.44999885559082
1713525347.6215153,175104,-18.30000114440918
1713525348.2840822,178176,-13.12441635131836
1713525348.9411647,181248,-19.19999885559082
1713525349.595874,184320,-17.25
1713525350.266836,187392,-15.44999885559082
1713525350.9265873,190464,-17.39999771118164
1713525361.4848711,193536,-16.35000228881836
